RA, DEC, Field_name
240.6594, 15.7435, P241+15
16.9018, 32.2339, P016+34
333.7375, 13.8750, P334+16
223.0195, 38.9396, P221+40
339.2669, 34.4150, P339+33
57.4699, 75.1256, P060+74
30.0299, 40.8198, P032+41
193.9033, 27.1713, P195+27
15.0009, 30.0555, P014+29
333.0416, 16.1324, P334+18
16.7597, 32.5738, P016+34
214.6888, 37.7279, P213+37
191.4888, 36.0714, P192+35
26.1544, 42.7221, P028+41
148.7789, 69.0497, P149+70
130.5661, 31.0180, P130+32
17.0138, 27.0025, P019+26
243.1469, 29.4833, P242+28
122.2517, 66.1589, P124+67
217.5185, 7.2557, P217+07
149.0758, 69.0434, P149+70
255.9865, 78.7370, P255+78
214.6415, 37.8065, P216+37
14.2189, 30.5282, P014+29
57.0487, 75.2536, P060+74
149.0328, 69.0797, P149+70
196.3638, 36.9146, P197+37
256.4089, 77.7135, P255+78
16.7114, 32.6246, P015+31
148.9464, 69.1516, P149+70
232.5610, 29.0175, P231+30
43.6845, 42.2821, P044+44
159.0674, 37.3194, P161+37
16.8162, 32.0946, P015+31
172.1671, 16.5019, P172+17
349.0439, 27.8441, P350+28
35.8601, 42.9711, P035+41
41.4443, 27.5875, P040+29
206.2584, 39.8627, P204+40
244.3670, 35.0652, P242+35
130.8557, 29.1279, P129+29
256.3511, 77.7100, P255+78
267.2776, 14.3746, P265+15
9.9272, 21.2350, P007+21
8.2139, 39.9412, P007+39
15.9847, 32.1020, P013+34
287.9743, 71.5338, P294+71
133.3013, 67.2950, P131+67
44.8276, 35.9501, P045+36
16.8895, 32.3302, P018+31
277.2664, 32.3802, P277+33
39.9882, 30.1108, P040+29
129.6252, 30.5345, P130+32
191.5775, 26.4880, P190+27
268.0831, 44.7002, P265+43
127.3471, 39.1340, P127+39
117.9613, 36.1266, P116+34
267.8306, 67.3175, P266+68
182.6681, 36.6157, P180+37
263.3730, 40.6239, P265+40
238.0734, 36.2114, P236+38
251.7476, 76.8766, P255+78
122.1413, 38.9859, P120+39
193.7709, 27.1770, P195+27
193.8487, 27.2761, P195+27
174.1457, 17.4197, P172+17
176.9135, 20.8570, P177+20
163.3557, 56.3004, P165+57
5.5936, 32.5958, P007+33
2.4014, 37.5507, P000+36
200.8515, 31.5950, P201+32
333.7313, 29.7754, P333+28
206.3911, 62.1854, P202+62
193.7909, 27.3096, P195+27
173.1727, 17.1039, P172+17
270.2162, 31.1135, P270+30
116.0541, 14.7276, P118+14
32.0840, 27.5376, P032+29
16.8412, 32.4591, P016+34
12.7441, 13.2260, P011+13
48.6583, 15.1974, P048+14
159.9039, 61.4098, P157+62
39.6017, 2.5367, P038+01
133.4360, 61.5537, P130+62
159.9886, 63.0263, P157+62
206.7580, 31.1539, P207+30
198.4956, 53.4725, P196+55
141.5351, 41.2759, P144+40
229.0873, 38.5767, P229+37
226.9310, 30.2190, P225+30
342.8966, 20.5208, P342+21
